risk_tier,income_bracket,loan_type,applicants,default_rate,avg_risk_score,avg_credit_limit
Critical,Affluent,Auto,148,0.8986486486486487,0.7410679929921101,176081.0810810811
Critical,Affluent,Home Improvement,78,0.8974358974358975,0.7388309692491424,250128.20512820513
Critical,Entry,Personal,402,0.8208955223880597,0.7508219951423717,25189.05472636816
Critical,High Net Worth,Home Improvement,44,0.9090909090909091,0.743878219295441,347727.2727272727
Critical,High Net Worth,Mortgage,12,0.9166666666666666,0.7553841306862732,506666.6666666667
Critical,Mass,Auto,329,0.7993920972644377,0.7383519703105048,103920.9726443769
Critical,Mass,Personal,280,0.8428571428571429,0.7424245834516193,56428.57142857143
High,Affluent,Auto,276,0.5978260869565217,0.6028550356406549,176449.27536231885
High,Affluent,Home Improvement,178,0.6123595505617978,0.5987537635841306,247022.47191011236
High,Entry,Personal,983,0.5788402848423194,0.5793461448166075,23296.032553407935
High,High Net Worth,Home Improvement,118,0.6186440677966102,0.5985188281232482,356864.406779661
High,High Net Worth,Mortgage,33,0.8181818181818182,0.6007195605549636,500000.0
High,Mass,Auto,620,0.6161290322580645,0.6051021218341652,102822.58064516129
High,Mass,Personal,689,0.5834542815674891,0.5934694713432361,54383.16400580551
Low,Affluent,Auto,4226,0.08566019876952201,0.10070220667288796,180624.70421202082
Low,Affluent,Home Improvement,2951,0.08370044052863436,0.09579785713581145,251613.01253812268
Low,Entry,Personal,1480,0.12702702702702703,0.15929234880465867,24450.0
Low,High Net Worth,Home Improvement,3014,0.07232913072329131,0.08842254739084897,354601.8579960186
Low,High Net Worth,Mortgage,1227,0.06356968215158924,0.08019009118002728,504417.27791361045
Low,Mass,Auto,3808,0.09690126050420168,0.11081766069064246,105961.13445378152
Low,Mass,Personal,2769,0.11412062116287468,0.14261551364390057,54647.887323943665
Medium,Affluent,Auto,1168,0.3030821917808219,0.28202779848154824,181001.7123287671
Medium,Affluent,Home Improvement,568,0.30633802816901406,0.28376744755167693,249014.08450704225
Medium,Entry,Personal,1446,0.3236514522821577,0.2972920786614912,22662.517289073305
Medium,High Net Worth,Home Improvement,549,0.37158469945355194,0.2908505013209219,345988.48816029145
Medium,High Net Worth,Mortgage,120,0.4083333333333333,0.28715116008597896,490833.3333333333
Medium,Mass,Auto,1301,0.32667179093005383,0.2910536668998736,106641.04534973098
Medium,Mass,Personal,1183,0.31614539306847,0.2855539158491076,54378.69822485207
